City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Salihorsk,BY,52.7876,27.5415,44.87,68,96,9.44,overcast clouds
80,Caravelas,BR,-17.7125,-39.2481,76.21,80,6,13.42,clear sky
81,Menongue,AO,-14.6585,17.691,63.43,23,13,3.24,few clouds
82,Carnarvon,AU,-24.8667,113.6333,62.67,67,0,12.66,clear sky
83,Hamilton,US,39.1834,-84.5333,71.2,88,90,1.01,overcast clouds
84,Sao Lourenco Do Oeste,BR,-26.3592,-52.8511,63.7,99,100,3.83,light rain
85,Provideniya,RU,64.3833,-173.3,33.91,69,75,6.71,broken clouds
86,Mataura,NZ,-46.1927,168.8643,49.48,80,100,8.95,overcast clouds
87,Bambous Virieux,MU,-20.3428,57.7575,72.21,81,31,14.38,light rain
88,Lagoa,PT,39.05,-27.9833,70.56,93,23,11.03,few clouds
89,Castro,BR,-24.7911,-50.0119,62.2,99,100,4.38,light rain
90,East London,ZA,-33.0153,27.9116,57.07,70,39,5.06,light rain
91,Port Lincoln,AU,-34.7333,135.8667,55.36,62,40,29.44,scattered clouds
92,Naantali,FI,60.4674,22.0243,55.11,79,100,25.21,overcast clouds
93,Georgetown,MY,5.4112,100.3354,79.9,90,20,0.0,few clouds
94,New Norfolk,AU,-42.7826,147.0587,61.66,76,67,3.91,broken clouds
95,Roma,US,43.2128,-75.4557,65.66,96,90,6.91,moderate rain
96,Santana Do Matos,BR,-5.9575,-36.6556,79.41,55,11,23.85,few clouds
97,Avarua,CK,-21.2078,-159.775,77.05,69,75,10.36,broken clouds
98,Kasongo,CD,-4.45,26.6667,69.24,88,95,2.08,overcast clouds
99,Ponta Do Sol,PT,32.6667,-17.1,76.01,78,100,6.17,overcast clouds
100,Lebu,CL,-37.6167,-73.65,49.57,76,0,19.95,clear sky
101,Purpe,RU,64.4803,76.6897,27.01,88,66,7.7,broken clouds
102,Beyneu,KZ,45.3167,55.2,50.97,37,86,8.12,overcast clouds
103,Tiksi,RU,71.6872,128.8694,24.75,87,98,15.03,overcast clouds
104,Whitehorse,CA,60.7161,-135.0538,37.81,84,90,2.3,overcast clouds
105,Barcelos,PT,41.5388,-8.6151,57.85,75,64,1.86,broken clouds
106,Olinda,BR,-8.0089,-34.8553,80.33,78,40,10.36,scattered clouds
107,Havoysund,NO,70.9963,24.6622,50.88,74,100,37.67,light rain
108,Ribeira Grande,PT,38.5167,-28.7,71.71,90,32,6.85,scattered clouds
109,Vawkavysk,BY,53.1561,24.4513,48.15,73,84,13.51,broken clouds
110,Bowen,AU,-20.0167,148.2333,78.91,79,12,10.36,few clouds
111,Coahuayana,MX,18.7333,-103.6833,85.48,66,92,4.74,overcast clouds
112,Lata,PT,40.1629,-8.3327,56.8,82,61,1.54,broken clouds
113,Saldanha,ZA,-33.0117,17.9442,55.2,73,0,24.36,clear sky
114,Okato,NZ,-39.2,173.8833,65.43,89,86,8.52,overcast clouds
115,Fevik,NO,58.3794,8.6766,55.17,80,99,16.96,overcast clouds
116,Suluq,LY,31.6682,20.2521,70.47,57,0,7.72,clear sky
117,Port Hedland,AU,-20.3167,118.5667,68.05,45,3,4.61,clear sky
118,Mar Del Plata,AR,-38.0023,-57.5575,50.13,68,5,10.0,clear sky
119,Sobolevo,RU,54.4299,31.8996,43.84,82,100,5.86,moderate rain
120,Torbay,CA,47.6666,-52.7314,54.68,95,90,2.3,overcast clouds
121,Cabo San Lucas,MX,22.8909,-109.9124,88.52,65,20,6.91,few clouds
122,Road Town,VG,18.4167,-64.6167,84.29,74,40,11.5,scattered clouds
123,Portree,GB,57.4129,-6.1942,49.86,91,66,12.44,broken clouds
124,Pahrump,US,36.2083,-115.9839,91.94,13,8,5.01,clear sky
125,Port Alfred,ZA,-33.5906,26.891,54.88,78,24,8.3,light rain
126,Abu Zabad,SD,12.35,29.25,79.09,32,46,5.93,scattered clouds
127,Adrar,MR,20.5022,-10.0711,92.53,11,12,5.3,few clouds
128,Bredasdorp,ZA,-34.5322,20.0403,49.98,76,65,1.57,broken clouds
129,Martil,MA,35.6166,-5.2752,66.27,78,86,9.55,overcast clouds
130,Ucluelet,CA,48.9329,-125.5528,63.05,76,95,3.0,overcast clouds
131,Arraial Do Cabo,BR,-22.9661,-42.0278,71.47,97,62,9.69,moderate rain
132,Namibe,AO,-15.1961,12.1522,60.22,88,33,5.53,scattered clouds
133,Aklavik,CA,68.2191,-135.0107,34.52,97,100,16.15,overcast clouds
134,Ancud,CL,-41.8697,-73.8203,47.73,81,77,7.31,broken clouds
135,Romitan,UZ,39.9343,64.3814,46.35,49,0,9.22,clear sky
136,Tezu,IN,27.9167,96.1667,72.86,99,100,2.68,overcast clouds
137,Nanortalik,GL,60.1432,-45.2371,38.35,83,0,5.61,clear sky
138,Esperance,AU,-33.8667,121.9,52.09,65,36,12.44,scattered clouds
139,Nuuk,GL,64.1835,-51.7216,41.61,70,20,12.66,few clouds
140,Bathsheba,BB,13.2167,-59.5167,84.81,65,40,23.02,scattered clouds
141,Sangin,AF,32.0728,64.8359,64.54,25,0,5.39,clear sky
