City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,East London,ZA,2021-10-02 20:22:02,-33.0153,27.9116,56.7,54,64,26.08
1,Lompoc,US,2021-10-02 20:18:49,34.6391,-120.4579,93.34,58,1,11.5
2,Thompson,CA,2021-10-02 20:22:03,55.7435,-97.8558,60.96,67,75,3.44
3,Ridgecrest,US,2021-10-02 20:19:19,35.6225,-117.6709,87.69,6,1,3.0
4,Lagoa,PT,2021-10-02 20:22:03,39.05,-27.9833,70.95,91,95,17.16
5,Georgetown,MY,2021-10-02 20:21:16,5.4112,100.3354,79.9,87,20,0.0
6,Tchibanga,GA,2021-10-02 20:22:04,-2.85,11.0333,73.13,86,98,3.74
7,Hambantota,LK,2021-10-02 20:22:05,6.1241,81.1185,78.76,85,47,11.61
8,Parkes,AU,2021-10-02 20:22:05,-33.1333,148.1833,46.96,96,56,3.2
9,Fortuna,US,2021-10-02 20:22:06,40.5982,-124.1573,84.42,83,40,10.36
10,Port Lincoln,AU,2021-10-02 20:22:06,-34.7333,135.8667,56.34,88,100,25.61
11,Cam Ranh,VN,2021-10-02 20:22:06,11.9214,109.1591,78.76,89,20,3.44
12,Zhanaozen,KZ,2021-10-02 20:22:07,43.3,52.8,53.96,31,100,12.33
13,Busselton,AU,2021-10-02 20:22:07,-33.65,115.3333,49.08,58,100,15.93
14,Saint-Philippe,RE,2021-10-02 20:22:08,-21.3585,55.7679,71.15,77,39,12.91
15,Cherskiy,RU,2021-10-02 20:22:08,68.75,161.3,23.92,97,100,7.99
16,Port Hedland,AU,2021-10-02 20:22:09,-20.3167,118.5667,60.85,51,2,8.05
17,Zhigansk,RU,2021-10-02 20:22:09,66.7697,123.3711,26.17,87,14,10.63
18,Iqaluit,CA,2021-10-02 20:22:09,63.7506,-68.5145,37.13,81,20,3.0
19,Meulaboh,ID,2021-10-02 20:22:10,4.1363,96.1285,75.76,89,100,3.33
20,Albany,US,2021-10-02 20:20:58,42.6001,-73.9662,75.67,63,64,8.16
21,Punta Arenas,CL,2021-10-02 20:22:10,-53.15,-70.9167,46.51,71,75,20.71
22,Alofi,NU,2021-10-02 20:22:11,-19.0595,-169.9187,75.09,94,75,11.5
23,Jamestown,US,2021-10-02 20:22:11,42.097,-79.2353,75.09,48,1,8.01
24,Butaritari,KI,2021-10-02 20:22:11,3.0707,172.7902,82.65,71,96,20.65
25,Ushuaia,AR,2021-10-02 20:22:12,-54.8,-68.3,44.26,65,75,12.66
26,Alice Springs,AU,2021-10-02 20:20:06,-23.7,133.8833,67.55,49,0,11.5
27,Faanui,PF,2021-10-02 20:22:12,-16.4833,-151.75,79.48,69,3,17.0
28,Constitucion,CL,2021-10-02 20:22:13,-35.3333,-72.4167,56.37,50,0,21.47
